0,1,2
3472,19300,30
4358,17987,1684
61,59155,1131
1410,7431,7027
1243,1135,50735
649,6640,4934
25874,1837,938
1111,12603,3942
157,4419,16615
2085,4927,5104
3583,13746,1739
8620,4748,4564
6887,1395,4809
10286,6528,763
38,4438,14456
11438,5470,1435
1479,8783,8490
1838,6379,7638
77,34753,2576
19916,4003,1072
15970,2019,5102
26586,661,3068
17135,337,1830
16446,712,2833
12295,150,7952
376,38268,549
14400,3022,2877
1735,844,44441
6718,1642,651
12824,3117,1565
6129,5890,4603
8144,5110,5616
30802,2671,230
3010,213,2940
34116,791,1115
6617,2275,8891
1357,1541,20187
5023,6204,8045
3292,24878,676
453,23903,3792
1123,39703,449
44,2305,21708
8906,4705,1804
29636,727,2037
1111,32359,1490
1040,58577,159
16891,1136,874
6465,5121,6831
4117,4607,6563
4998,4963,176
7268,1679,2229
56068,769,536
9507,4907,2688
821,7637,376
1202,9394,9458
4763,3565,1793
1561,718,50178
4890,20299,645
701,851,15239
21074,816,1619
39770,1072,1388
5909,3340,6947
1050,20800,3484
6845,879,7058
7866,2942,6966
2009,7570,9811
69155,1581,90
4473,2354,6354
15864,1688,3828
1255,43826,843
10585,4216,4947
6331,2413,11460
35,199,53750
941,23712,1878
3219,1162,1262
7971,4022,6113
2656,3481,18718
64,6502,2864
13280,1947,360
4646,9452,5705
45380,178,1795
15603,575,1180
3547,6537,6761
1982,288,17096
3652,23848,1352
11914,501,3794
4450,376,24330
3463,3635,5039
578,32464,1746
9204,7078,640
1403,149,28375
1511,10705,3867
42,12375,8982
22182,570,2977
1477,19671,1082
963,64192,799
117,15199,7555
2280,4122,15933
2940,10594,5325
625,13981,4233
2661,6035,11451
16517,5296,1280
5636,1836,15038
10070,772,844
842,13483,6498
121,805,28150
5535,2842,11074
3180,2331,3197
8965,8566,1206
2629,48,15540
2176,225,4137
2747,11373,3162
43093,322,448
31064,889,341
202,540,57253
2435,909,26308
5942,1533,7568
6760,2368,582
2244,9159,1663
3348,3310,12802
31173,174,3095
6373,10925,2570
42399,2377,72
214,1337,26117
36999,663,1255
1001,15152,1588
21,19555,417
1456,34931,37
1298,8292,2675
15194,4511,374
3578,1388,13814
1702,21527,1273
2718,2059,21040
837,5309,12083
15134,40,4707
6848,6117,1843
2390,22641,1317
2211,549,44328
3014,12091,3278
1467,7783,4553
1848,20912,3731
1119,6729,13905
42,2806,32015
6035,2232,3852
141,93,1312
4323,2261,12843
3907,4236,6988
15007,1665,1028
7841,1816,4413
929,28679,17
1071,25832,656
23403,1646,2831
9528,396,7772
1393,18022,886
23827,3903,847
4807,15472,1107
794,1344,28757
363,6775,7454
11203,2203,5632
26998,2403,671
7055,9944,867
1774,8009,2033
3810,178,30862
801,18613,715
902,72386,351
55,10629,3077
415,10370,8656
917,972,50103
14911,1510,5171
593,60806,909
324,7853,10253
33872,2773,95
4558,1671,14816
17206,3183,2723
1226,1611,38342
3901,12068,141
3152,5819,2169
3440,449,31679
5171,73,17406
708,17887,4514
31870,317,2432
1151,11472,322
636,2444,25069
993,1294,34424
20200,1355,2947
7945,1228,2520
4827,4420,3403
8010,2697,8265
24,1919,32667
3746,10193,3313
7413,4396,7594
57,29241,2041
4304,11037,3631
5754,6611,4143
34455,372,1492
1034,11002,4583
1010,21,9962
10385,11387,299
20901,2645,2506
1772,139,50599
19617,704,2236
7200,963,5040
6462,291,4478
426,1955,26448
12788,5940,948
4220,6209,4127
6688,3902,7440
1867,1965,9157
38171,2214,278
3053,11235,1577
1985,13413,1437
1949,4871,15184
11509,8330,1149
24712,2088,1219
697,28859,1414
15469,4400,1586
69575,609,1075
35795,3250,155
3853,8887,4257
55427,237,1245
4442,723,12223
5651,671,12878
570,9279,10574
33354,285,3282
1109,2171,18445
6411,1651,5811
1408,5379,4343
102,483,37956
3980,16149,1277
2256,13075,3661
8265,5087,2819
783,1818,2736
799,400,46692
2500,1437,22029
14849,5001,1516
1518,2531,10142
13534,385,3561
1596,7373,12599
5710,14021,2198
5892,4987,3327
6805,271,15643
150,476,23222
1195,13642,5967
2540,1011,32982
40721,1309,579
14612,4890,149
2490,14443,426
18629,2281,2884
587,18281,1568
13442,80,2511
184,9620,8230
714,69409,566
2063,12771,4643
1611,2749,27114
2845,3963,7889
1935,10934,7379
11353,115,1656
3480,12432,2134
41991,512,1458
389,6313,2280
814,30078,1007
339,14001,6392
4402,5972,8381
1097,559,52117
18110,643,5533
859,507,74579
4088,347,4026
7042,1971,166
1132,1633,41421
2111,5868,9402
61045,6,1395
11282,6643,2536
3832,2636,7714
9913,46,9515
5267,1851,11741
29161,201,895
1337,29512,1154
16067,2688,2272
