0,1,2
3024,15506,1
1754,508,5089
20260,1560,417
851,5370,2945
118,95128,475
10433,203,1915
4037,8586,219
7479,1453,4654
595,12071,2062
33486,457,718
2383,2439,1140
1284,29752,692
5642,3988,1735
1101,376,15943
6594,3348,39
2932,5238,4199
97,10634,3813
12939,1687,2309
2099,3287,8677
366,1184,20990
707,55562,126
3247,784,2686
1013,16651,1022
646,2034,5746
1574,7201,402
17694,291,171
7598,4224,2507
567,108,73547
1519,2638,2123
5464,149,4386
4560,5133,3388
1924,1399,15036
215,21518,284
9101,1170,1052
1057,6794,5500
3059,8090,2863
3474,11531,1199
154,557,9359
6092,1807,758
2552,3331,7369
19056,542,2057
1441,268,34505
758,4611,873
782,2076,17060
47950,979,68
6346,750,6276
15818,1436,1469
1219,13888,2589
8348,5749,317
266,7533,4765
2268,14,3581
83,1888,27696
1402,4998,8624
3453,1263,4880
31162,730,951
498,2925,12471
7218,2330,1687
1798,4205,5847
1139,9151,138
212,326,42218
13981,874,2826
3007,1667,10314
34941,1347,202
4154,3603,1408
395,15903,3424
1265,1098,7065
2681,6082,2041
69,34995,569
11739,656,333
423,534,29997
2010,11325,659
3865,285,8179
380,1535,2451
22280,178,1190
3395,4476,518
2516,693,12929
807,20309,1889
7936,2568,3457
441,5677,7905
2,846,65627
1857,10859,987
10057,114,5595
14842,2400,123
1024,3498,11803
1708,404,23099
658,27153,379
4906,1044,2382
1988,2243,4526
1329,6419,3317
25206,63,597
10930,1770,808
725,216,19496
17,12404,1320
2861,3091,229
1128,1003,24031
200,4387,10111
4009,637,7327
97504,512,63
5902,5587,1183
336,80164,18
1435,1838,13938
6854,390,3154
568,8270,1624
12824,2737,1112
1813,908,10840
592,1376,20568
3601,2107,3692
1502,17669,588
61,2534,5164
20471,1132,643
2063,3830,2691
5078,10317,444
8106,990,4092
437,52171,175
949,502,1519
61508,326,470
4868,1698,6710
3964,7383,2166
107,37,38857
8878,1408,617
1554,4929,4425
357,38776,932
15396,93,1732
3726,13398,292
406,2379,8100
5496,2806,2749
2298,14984,1245
42533,809,285
3031,352,6173
191,5315,785
9737,850,3249
3206,8135,919
6820,2099,5079
1107,11793,3767
33944,282,970
985,145,45258
1668,1974,1866
1357,43919,42
3774,3544,4768
454,30796,1088
4702,4702,3584
271,1090,14592
7448,2883,1274
2273,5901,4922
1369,10062,3098
2440,2716,9101
1220,719,22189
4662,262,19
316,16062,2227
1159,1476,7603
2990,6750,1286
872,23043,198
2141,684,17122
18035,970,866
6658,4033,354
616,3408,3963
1617,4567,8219
5669,955,5295
22173,1732,303
287,61184,431
92,416,56591
3901,5766,2479
1313,21312,821
8271,706,2101
361,6193,6069
2228,7473,565
1496,126,9736
37165,904,424
5378,1341,1000
1893,3002,6470
745,899,32358
989,4160,2271
10328,2697,735
123,1742,18143
7618,188,7506
489,14561,82
93259,112,242
8689,5187,850
1365,8571,5010
2610,1224,3033
39084,1509,57
4380,2423,6252
376,228,68140
5796,6462,268
840,2850,13356
6260,1844,3523
2842,4008,7331
236,8992,1187
13151,421,515
2311,1610,11389
3495,3272,1661
907,15434,2544
541,818,4272
4,76401,240
1851,5631,3728
11079,52,1398
899,342,31689
81,4731,12617
2522,11971,1065
4133,997,8873
1179,2196,452
4457,3903,1566
1576,169,14334
954,5153,6577
45827,377,753
2785,10528,2193
587,39701,689
15040,1947,1169
294,3045,11064
6004,591,3448
1732,16549,171
609,88,53291
2464,1792,5547
18834,2980,75
426,7050,2763
9971,1578,2337
1066,862,18433
3703,9595,666
15959,222,2714
1433,13446,1722
2031,2488,941
224,659,25229
3178,34,6765
346,31035,525
5180,5018,1908
775,1248,15796
7367,1065,212
1703,6643,4647
799,7939,3623
2911,455,8519
4059,1652,3106
671,18341,1467
1404,3587,5915
21814,798,1083
2405,4868,59
63977,173,494
9033,641,5141
18506,1281,789
46,305,1928
6174,1519,4040
28940,605,101
1034,19093,709
8163,2175,1477
595,4461,5317
1651,9460,2527
918,1928,9183
4800,3482,594
43387,251,825
125,45061,153
2200,1028,7993
149,1638,34681
1468,6028,1049
10592,505,2860
460,2654,17516
4513,7562,2284
277,11174,3171
1009,8812,4579
326,947,45827
3085,1450,3228
106,6825,8444
4287,3076,5052
24453,27,380
6118,4371,2896
1333,622,12112
6753,2878,1840
710,10708,310
1711,3347,10166
491,161,23849
3759,893,1225
56860,497,164
219,2143,6884
2331,6268,1668
817,36675,356
11388,2031,158
3478,3814,4318
158,22470,926
2355,65,17886
17376,674,2257
2776,12700,497
4632,1315,8785
7171,4744,1425
1092,2940,2609
5010,486,5687
23101,1553,855
4107,5486,331
2056,1736,13099
8784,143,3915
2705,8526,1568
15546,2582,256
666,1164,11584
1399,28020,26
5720,2414,2234
78669,275,90
2821,2790,4333
1014,428,33421
330,4086,3469
26038,1479,397
9388,3324,979
6959,834,6451
245,103,98407
831,14231,1127
391,8120,6215
1951,758,679
3684,2008,7457
4966,7141,826
181,3529,13754
7676,1258,3002
2012,4687,6810
1279,9671,1774
480,587,42702
13664,404,1550
2580,2324,10478
10880,4199,238
4313,2700,3668
77,14833,404
810,246,4807
21220,2121,487
2885,5109,3143
12495,1110,1605
5928,8015,69
69,1019,31109
1582,11642,2117
3438,668,10270
32796,211,318
520,1918,1374
3554,4551,1969
8412,3195,440
14,5801,4088
661,68033,56
14381,1376,1899
1222,2565,8267
2150,599,20843
197,26113,1643
5174,111,2530
1634,1361,5954
902,6599,636
353,533,16463
3917,9129,1071
16887,868,47
774,13168,3567
2507,3663,2325
310,41203,213
1286,50,25813
468,4821,10568
4521,1209,4616
981,2459,15043
2251,21251,131
6537,630,899
140,7727,2915
52606,45,669
1971,381,9565
275,1707,22013
3156,1630,176
1129,17908,2032
690,3256,7248
20984,238,2128
1746,4415,1271
159,208,48215
403,23909,650
49878,543,458
8374,86,5866
17603,2338,1034
7471,5036,0
1462,982,3776
5344,2232,5273
4611,6393,2649
28244,1,1177
1840,2608,12537
375,18611,972
620,733,37580
9018,1693,2060
1108,3888,5708
2939,8887,364
14951,718,2899
89,1404,9907
6216,3029,1446
162,86385,486
2713,575,6630
638,5559,2081
9866,362,545
1339,12232,251
