0,1,2
9438,5050,1122
48988,352,1808
3725,11326,2528
1308,2924,5648
1015,48912,114
5263,2547,1434
1775,866,18954
11003,489,3210
2214,18082,810
62200,958,450
3313,9600,3930
1116,1518,8370
33745,66,1016
6059,6239,5216
2763,4250,152
566,24552,3272
9355,718,11672
3258,1198,16202
11827,1747,2162
401,17,60482
5675,3412,7682
841,10511,1304
3587,2467,4664
7543,6532,680
292,5161,11240
26659,2006,560
2928,771,31160
6446,1011,12170
2051,14283,4970
16553,3035,1610
733,2109,26810
440,31430,890
3369,6121,6530
5347,12225,26
8423,3709,3386
1502,600,2906
20618,4361,851
403,11459,7451
17981,1274,5051
4358,3297,12698
19,1068,40418
10565,6315,458
7929,1926,6938
3095,15506,1178
3974,245,27074
30341,1171,1274
678,7344,3794
6391,4658,2114
18805,2497,3059
348,3057,18179
42536,280,179
2545,1823,9419
10456,3526,4499
128,21119,539
1007,680,54635
4523,12717,3155
15509,2223,755
2326,4555,8795
7627,8499,2675
34873,3252,23
5429,97,5423
1255,1331,21983
3891,8293,1463
11362,1126,6107
1694,19335,4307
7077,2792,9827
632,35199,2627
22898,631,2027
2683,10817,7067
486,2772,14147
13010,3821,2483
2024,13629,2243
2957,5467,5363
2079,151,37871
8670,1386,311
394,55947,1751
2738,2243,20951
1419,6427,11447
12845,2037,4007
2408,17470,2807
63932,494,887
211,8953,5927
1676,25288,136
4605,906,7336
884,3604,1079
5937,2300,11399
225,380,15455
10002,174,1775
4290,9285,424
1873,1203,3544
261,45956,2344
5828,5993,2560
2367,60,49000
3685,3935,10720
23900,1775,606
1049,2392,32406
1268,24237,1326
7421,471,12966
2587,15835,4446
14891,5341,486
60,7673,6712
8849,11685,832
792,61000,352
6652,3283,3952
719,4343,21088
3356,2152,1888
6432,125,18328
1772,38396,1168
307,1359,46768
16127,673,4254
6020,18266,174
1625,4857,14574
12392,7944,894
4921,1702,8934
527,13979,2430
30519,399,390
4152,5817,5790
8107,4514,1200
124,33835,3120
22390,1428,3720
856,296,9840
3548,19558,702
1351,11156,4062
17171,971,2862
1058,28131,1542
2449,2994,8142
5086,11019,2382
9041,2617,4998
2999,696,23718
2120,6869,48
12227,559,6768
20357,2342,1488
1021,9750,8688
1461,3428,16728
4097,1268,13224
3,70655,744
11135,3371,1944
36624,136,3264
47610,1679,504
2786,12482,1704
369,4080,4330
6961,788,1090
918,1028,19896
25088,3977,336
9487,1816,5736
698,19100,2136
3775,10698,4872
16079,5574,1392
1193,2178,6312
7345,15122,552
5148,6602,3178
4489,4991,2698
534,841,33034
40963,532,1234
7675,1081,10354
350,39661,394
3720,1938,15874
1083,5951,13114
13607,2727,141
6137,3893,6981
1742,8831,861
2648,315,3706
9240,7517,2266
1989,3127,9202
27478,212,2602
2978,23978,322
5615,1996,14722
781,15576,3069
18359,4156,669
1660,75,25269
3637,7174,8589
7592,4808,5949
177,1573,1605
16656,2293,3374
